SH600000	2016-01-29	2016-06-29
SH600005	2016-01-29	2016-06-29
SH600008	2016-01-29	2016-06-29
SH600009	2016-01-29	2016-06-29
SH600010	2016-01-29	2016-06-29
SH600011	2016-01-29	2016-06-29
SH600015	2016-01-29	2016-06-29
SH600016	2016-01-29	2016-06-29
SH600018	2016-01-29	2016-06-29
SH600019	2016-01-29	2016-06-29
SH600021	2016-01-29	2016-06-29
SH600023	2016-01-29	2016-06-29
SH600027	2016-01-29	2016-06-29
SH600028	2016-01-29	2016-06-29
SH600029	2016-01-29	2016-06-29
SH600030	2016-01-29	2016-06-29
SH600031	2016-01-29	2016-06-29
SH600036	2016-01-29	2016-06-29
SH600038	2016-01-29	2016-06-29
SH600048	2016-01-29	2016-06-29
SH600050	2016-01-29	2016-06-29
SH600060	2016-01-29	2016-06-29
SH600066	2016-01-29	2016-06-29
SH600068	2016-01-29	2016-06-29
SH600085	2016-01-29	2016-06-29
SH600089	2016-01-29	2016-06-29
SH600100	2016-01-29	2016-06-29
SH600104	2016-01-29	2016-06-29
SH600109	2016-01-29	2016-06-29
SH600111	2016-01-29	2016-06-29
SH600115	2016-01-29	2016-06-29
SH600118	2016-01-29	2016-06-29
SH600150	2016-01-29	2016-06-29
SH600153	2016-01-29	2016-06-29
SH600157	2016-01-29	2016-06-29
SH600166	2016-01-29	2016-06-29
SH600170	2016-01-29	2016-06-29
SH600177	2016-01-29	2016-06-29
SH600188	2016-01-29	2016-06-29
SH600196	2016-01-29	2016-06-29
SH600208	2016-01-29	2016-06-29
SH600221	2016-01-29	2016-06-29
SH600252	2016-01-29	2016-06-29
SH600256	2016-01-29	2016-06-29
SH600271	2016-01-29	2016-06-29
SH600276	2016-01-29	2016-06-29
SH600309	2016-01-29	2016-06-29
SH600315	2016-01-29	2016-06-29
SH600317	2016-01-29	2016-06-29
SH600332	2016-01-29	2016-06-29
SH600340	2016-01-29	2016-06-29
SH600350	2016-01-29	2016-06-29
SH600352	2016-01-29	2016-06-29
SH600362	2016-01-29	2016-06-29
SH600369	2016-01-29	2016-06-29
SH600372	2016-01-29	2016-06-29
SH600373	2016-01-29	2016-06-29
SH600383	2016-01-29	2016-06-29
SH600398	2016-01-29	2016-06-29
SH600406	2016-01-29	2016-06-29
SH600415	2016-01-29	2016-06-29
SH600485	2016-01-29	2016-06-29
SH600489	2016-01-29	2016-06-29
SH600518	2016-01-29	2016-06-29
SH600519	2016-01-29	2016-06-29
SH600535	2016-01-29	2016-06-29
SH600547	2016-01-29	2016-06-29
SH600549	2016-01-29	2016-06-29
SH600570	2016-01-29	2016-06-29
SH600578	2016-01-29	2016-06-29
SH600583	2016-01-29	2016-06-29
SH600585	2016-01-29	2016-06-29
SH600588	2016-01-29	2016-06-29
SH600600	2016-01-29	2016-06-29
SH600633	2016-01-29	2016-06-29
SH600637	2016-01-29	2016-06-29
SH600642	2016-01-29	2016-06-29
SH600648	2016-01-29	2016-06-29
SH600649	2016-01-29	2016-06-29
SH600660	2016-01-29	2016-06-29
SH600663	2016-01-29	2016-06-29
SH600674	2016-01-29	2016-06-29
SH600688	2016-01-29	2016-06-29
SH600690	2016-01-29	2016-06-29
SH600703	2016-01-29	2016-06-29
SH600705	2016-01-29	2016-06-29
SH600717	2016-01-29	2016-06-29
SH600718	2016-01-29	2016-06-29
SH600739	2016-01-29	2016-06-29
SH600741	2016-01-29	2016-06-29
SH600783	2016-01-29	2016-06-29
SH600795	2016-01-29	2016-06-29
